,org_mode,NM,N size/M Count,PLaser,Pout,no_of_bits,DR
0,MWA,NnotM,1,10,-6.556899869919435,8,1
1,MWA,NnotM,1,10,-6.556899869919435,8,5
2,MWA,NnotM,1,10,-6.556899869919435,8,10
