,org_mode,NM,N size/M Count,PLaser,Pout,no_of_bits,DR
0,MWA,NnotM,94,1,-18.016298469362933,4,1
1,MWA,NnotM,32,1,-14.405043854473208,4,5
2,MWA,NnotM,5,1,-12.814449538286837,4,10
