,org_mode,NM,N size/M Count,PLaser,Pout,no_of_bits,DR
0,MWA,NnotM,108,10,-18.072581713167203,4,1
1,MWA,NnotM,74,10,-14.463188056824395,4,5
2,MWA,NnotM,59,10,-12.86996877587552,4,10
